produto,valor,unidade
Soja,345.422.469,Mil Reais
Milho em grão,137.743.946,Mil Reais
Cana-de-açúcar,93.478.262,Mil Reais
Café,51.813.884,Mil Reais
Algodão herbáceo,33.134.873,Mil Reais
Trigo,15.696.828,Mil Reais
Arroz,15.530.452,Mil Reais
Mandioca,15.298.408,Mil Reais
Laranja,14.367.012,Mil Reais
Banana,11.918.249,Mil Reais
Tomate,8.656.263,Mil Reais
Fumo,8.541.349,Mil Reais
Batata,6.728.524,Mil Reais
Açaí (cultivo),6.166.252,Mil Reais
Uva,4.536.903,Mil Reais
Cebola,4.107.583,Mil Reais
Cacau,3.486.143,Mil Reais
Sorgo,2.910.545,Mil Reais
Abacaxi,2.758.106,Mil Reais
Amendoim,2.584.944,Mil Reais
Mamão,2.402.452,Mil Reais
Limão,2.076.875,Mil Reais
Manga,2.074.489,Mil Reais
Maçã,1.975.266,Mil Reais
Maracujá,1.972.578,Mil Reais
Alho,1.897.787,Mil Reais
Melancia,1.882.802,Mil Reais
Borracha,1.838.722,Mil Reais
Coco-da-baía,1.600.093,Mil Reais
Tangerina,1.597.950,Mil Reais
Pimenta-do-reino,1.554.720,Mil Reais
Aveia branca,1.479.083,Mil Reais
Dendê,1.233.888,Mil Reais
Goiaba,1.109.140,Mil Reais
Feijão,916.254,Mil Reais
Cevada,916.254,Mil Reais
Melão,877.273,Mil Reais
Abacate,857.128,Mil Reais
Erva-mate (cultivo),846.541,Mil Reais
Castanha-de-caju (cultivo),588.963,Mil Reais
Pêssego,480.802,Mil Reais
Palmito (cultivo),472.310,Mil Reais
Caqui,428.730,Mil Reais
Sisal (fibra),299.208,Mil Reais
Triticale,165.207,Mil Reais
Girassol (em grão),152.098,Mil Reais
Figo,136.224,Mil Reais
Urucum (cultivo),96.653,Mil Reais
Fava,90.396,Mil Reais
Mamona,77.155,Mil Reais
Noz,71.728,Mil Reais
Pera,48.018,Mil Reais
Guaraná,45.779,Mil Reais
Azeitona,20.355,Mil Reais
Centeio,17.630,Mil Reais
Ervilha em grão,17.222,Mil Reais
Linho (semente),13.850,Mil Reais
Malva,8.730,Mil Reais
Chá-da-Índia,1.851,Mil Reais
Marmelo,1.795,Mil Reais
Juta,78,Mil Reais
Fonte: IBGE - PAM
,,
